Кандзи;Чтение;Перевод;Примеры слов;Мнемоническая подсказка
結;けつ、むす(ぶ)、ゆ(う);связывать, завязывать, контракт, соединять;"結婚 (けっこん) — брак; 結ぶ (むすぶ) — завязывать; 髪結い (かみゆい) — парикмахер";Вы можете говорить с самураем (士) и использовать нить (糸), чтобы СОЕДИНИТЬ в ОБЯЗЫВАЮЩИЙ КОНТРАКТ удачи.
吉;きち、きつ;удача, радость, поздравления;"不吉 (ふきち) — зловещий; 吉例 (きちれい) — праздничный обычай";Говорите УДАЧИ и потом ПОЗДРАВЛЕНИЯ самураю (士) до и после битвы.
売;う(る)、ばい;продавать;"売る (うる) — продавать; 商売 (しょうばい) — торговля, занятие";В конце концов, когда войны закончились, самураям нужны были новые занятия, и многие начали ПРОДАВАТЬ обувь в банках с крышками.
矢;や、し;стрела, дротик;"弓矢 (ゆみや) — лук и стрела; 一矢 (いっし) — стрела, [остроумный] ответ";Этот лучник с пером в шляпе широко расставил руки, чтобы выстрелить СТРЕЛОЙ.
知;ち、し(る);знать, мудрость;"知っている (しっている) — знать; 知人 (ちじん) — знакомый";Лучник ЗНАЕТ, как попасть в цель благодаря опыту и МУДРОСТИ.
短;たん、みじか(い);короткий (по длине);"短い (みじかい) — короткий; 短気 (たんき) — вспыльчивость";КОРОТКОМУ лучнику нужна КОРОТКАЯ стрела (矢), чтобы пробить боб (豆).
豆;まめ、とう;боб, горох;"豆 (まめ) — боб, горох; 豆腐 (とうふ) — тофу";Когда один (一) БОБ посажен, он прорастает, чтобы накормить голодные рты (口).
登;とう、と、のぼ(る);подниматься, взбираться;"登山 (とざん) — альпинизм; 登録 (とうろく) — регистрация; 山登り (やまのぼり) — альпинизм";Чтобы ВЗОБРАТЬСЯ на гору до заката, возьмите много бобов (豆) для энергии на ПОДЪЁМЕ.
疑;ぎ、うたが(う);сомнение, недоверие, вопрос;"疑う (うたがう) — сомневаться; 疑問 (ぎもん) — вопрос";Когда лучник использует ковш, чтобы посеять НЕДОВЕРИЕ в других, у него самого должен быть план уклониться и бежать ногами.
神;かみ、しん、じん;боги, разум, душа;"神様 (かみさま) — боги, бог; 神道 (しんとう) — синто";Арендованная собственность haunted ИЗМУЧЕННОЙ ДУШОЙ.
祖;そ;предок, основатель;"祖父 (そふ) — дедушка; 先祖 (せんそ) — предок";Имена духов наших ПРЕДКОВ перечислены на маркерах на кладбище.
福;ふく;удача, счастье;"幸福 (こうふく) — счастье; 福岡市 (ふくおかし) — город Фукуока";Пусть духи одним (一) голосом пожелают вам УДАЧИ и СЧАСТЬЯ для ваших полей (田).
社;しゃ、じゃ;компания, ассоциация, синтоистский храм;"神社 (じんじゃ) — синтоистский храм; 会社 (かいしゃ) — компания; 社会 (しゃかい) — обществознание";Дух земли (土) даёт благословения новой КОМПАНИИ или АССОЦИАЦИИ.
礼;れい;поклон, благодарность, церемония;"礼 (れい) — поклон; 失礼 (しつれい) — невежливость, извините";При встрече с духом может потребоваться ПОКЛОН на коленях.
祝;しゅく、いわ(う);праздновать, поздравлять;"祝い (いわい) — поздравление, праздник; 祝日 (しゅくじつ) — национальный праздник";Мой старший брат с большим ртом (口) всегда ПРАЗДНОВАЛ дух наших предков.
具;ぐ;инструмент, утварь, ингредиенты;"道具 (どうぐ) — инструмент; 具合 (ぐあい) — состояние";Используйте глаза (目), чтобы искать ИНСТРУМЕНТЫ и ИНГРЕДИЕНТЫ для приготовления ужина за столом.
刀;かたな、とう;меч, сабля, нож;"刀 (かたな) — меч; 古刀 (ことう) — старый меч";Рукоятка этого МЕЧА выше острого лезвия.
分;ぶん、ふん、ぷん、わ(かる)、わ(ける);часть, минута, понимание;"三分 (さんぷん) — три минуты; 気分 (きぶん) — настроение";За МИНУТЫ я смог ПОНЯТЬ, как использовать меч (刀), чтобы разрезать доску пополам.
初;しょ、はじ(め);первый раз, начало;"最初始 (さいしょ) — начало; 初めて (はじめて) — в первый раз";Японская мифология говорит, что в НАЧАЛЕ меч (刀) духа разрезал море, и капли с кончика стали островами Японии.
券;けん;билет;"食事券 (しょくじけん) — талон на еду; 航空券 (こうくうけん) — авиабилет";Этот человек имеет один (一) лишний большой (大) БИЛЕТ, размахивая руками от возбуждения после выигрыша призового меча (刀).
切;せつ、き(る);резать, отрезать, острый;"親切 (しんせつ) — доброта; 切る (きる) — резать, выключать [свет]; 切符 (きっぷ) — билет";В фильме «Семь самураев» много мечей (刀) РЕЗАЛИ много людей и вещей.
刷;さつ、す(る)、は(く);печать, печатать;"印刷 (いんさつ) — печать; 刷る (する) — печатать; 刷毛 (はけ) — кисть";Через открытую дверь видна свежая ПЕЧАТНАЯ ткань, сохнущая и готовая к резке ножом.
前;まえ、ぜん;перед, до;午前 (ごぜん) — утро (a.m.);Некоторые говорят, что трава ПЕРЕД домом растёт быстрее, если не резать её ножом ДО полной луны (月).
制;せい;система, закон;"制服 (せいふく) — униформа; 禁制 (きんせい) — запрет";С момента рождения (生) существует СИСТЕМА, куда класть бельё, и список ЗАКОНОВ, которые иногда режут как нож вашу радость.
創;そう、つく(る);начинать, создавать, ранить;"創立 (そうりつ) — основание; 創造 (そうぞう) — создание";Когда вы СОЗДАЁТЕ новое вино, НАЧИНАЕТЕ в погребе (倉), готовя фрукты острым ножом.
副;ふく;вице-, дубликат;"副食 (ふくしょく) — гарнир; 副詞 (ふくし) — наречие";Он использует рот (口), чтобы говорить о том, как ДУБЛИРОВАЛ успех в поле (田) с новым плугом, режущим как нож.
割;かつ、わり、わ(る);пропорция, делить, относительно, ломать;"割れる (われる) — разбиваться; 役割 (やくわり) — роль; 分割 (ぶんかつ) — деление";Под крышей с трубой два участка земли (土) ДЕЛЯТСЯ ножом, чтобы ОТНОСИТЕЛЬНО больше ртов (口) могли есть.
劇;げき;драма, пьеса;"歌劇 (かげき) — опера; 劇場 (げきじょう) — театр";ДРАМА разворачивается, когда тигр (虎) набрасывается на свинью (豕), и когти с зубами сталкиваются как ножи.
刊;かん;публиковать, гравировать;"新刊 (しんかん) — новая книга; 朝刊 (ちょうかん) — утренняя газета";Изображение можно ОПУБЛИКОВАТЬ, когда ГРАВИРОВКА полностью высохла (干) на линии.
判;はん、ばん;суждение, подпись, печать;"判子 (はんこ) — печать; 裁判 (さいばん) — суд";СУЖДЕНИЕ вынесено простой ПОДПИСЬЮ, чтобы разделить вещи пополам (半) ножом.
利;り、き(く);прибыль, преимущество, выгода;"利用 (りよう) — использование; 利子 (りし) — процент; 両利き (りょうきき) — амбидекстрия";Красивое дерево (禾), разрезанное огромным ножом, может привести к огромной ПРИБЫЛИ для одного, но ВЫГОДЕ для всех.
別;べつ、わか(れる);отдельный, другой, прощаться;"特別 (とくべつ) — особенный; 別に (べつに) — особо не; 別れ (わかれ) — расставание";Используя рты (口) для спора, один человек понял, что нож ДРУГОГО больше его собственного меча (刀), и решил ОТДЕЛИТЬСЯ.
列;れつ;ряд, колонка;"一列 (いちれつ) — ряд; 特急列車 (とっきゅうれっしゃ) — экспресс-поезд";Однажды вечером (夕) ножи все выстроились в РЯД.
書;しょ、か(く);писать;"書き (かき) — писать; 図書館 (としょかん) — библиотека";Четыре пальца руки держат кисть (聿) и ПИШУТ иероглиф солнца.
建;けん、た(てる);строить;"建物 (たてもの) — здание; 建設 (けんせつ) — строительство";Чтобы СТРОИТЬ что-то, сначала используйте кисть (聿) для плана, затем длинные шаги (廴) для правильного завершения.
康;こう;лёгкость, мир, здоровье;"健康 (けんこう) — здоровье; 健幸人 (けんこうじん) — здоровый человек";У основания пунктирного утеса (广) место, где можно жить с ЛЁГКОСТЬЮ, набирая воду (水) и легко писать в журнале кистью (聿) и тушью.
健;けん;здоровье, сила, упорство;健在 (けんざい) — в добром здоровье;Чтобы оставаться в добром ЗДОРОВЬЕ и СИЛЕ, человек должен делать длинные шаги (廴) и чистить кистью (聿) зубы после еды.
争;そう、あらそ(う);спорить, бороться;"戦争 (せんそう) — война; 争い (あらそい) — спор";Когда вы СПОРИТЕ, и кто-то бросает колкости, чиновник в эполетах может остановить это.
事;じ、こと;дело, факт, вещь;"食べること (たべること) — есть; 食事 (しょくじ) — еда; 事故 (じこ) — авария";Её рука хватает вертел с одной ВЕЩЬЮ на конце для рта (口).
卜;ぼく、うらない;гадание, предсказание;卜者 (ぼくしゃ) — гадалка;Эта ПАЛОЧКА ДЛЯ ГАДАНИЯ отлично работает для ПРЕДСКАЗАНИЯ.
斤;きん;топор, счётчик для хлебов;"斧斤 (ふきん) — топор; 三斤 (さんきん) — три хлеба";Лезвие этого ТОПОРА очень длинное и острое.
占;せん、し(める)、うらな(う);гадать, занимать;"占める (しめる) — занимать; 占う (うраなう) — гадать; 占領 (せんりょう) — оккупация";Чтобы сказать, что он видит при ГАДАНИИ, он использует палочки и другие инструменты для ПРЕДСКАЗАНИЯ будущего.
新;しん、あたら(しい);новый;"新しい (あたらしい) — новый; 新聞 (しんぶん) — газета; 新車 (しんしゃ) — новая машина";Прислоните топор (斤) к дереву и встаньте (立) на вершину дерева (木), чтобы увидеть НОВЫЕ вещи вдали.
弓;ゆみ、きゅう;лук (для стрельбы, скрипки);"弓 (ゆみ) — лук; 弓道 (きゅудоу) — японская стрельба из лука";Японский ЛУК имеет глубокий изгиб, где лучник его держит.
引;いん、ひ(く);тянуть, притягивать;"引く (ひく) — тянуть; 引力 (いんりょく) — гравитация";В стрельбе из лука вы ТЯНЕТЕ тетиву лука (弓), держа стрелу.
弱;じゃく、よわ(い);слабый;"弱い (よわい) — слабый; 弱者 (じゃくしゃ) — слабый человек";Эти два лука (弓) имели СЛАБЫЕ тетивы, которые просто лопнули.
張;ちょう、は(る);натягивать, растягивать;"出張 (しゅっちょう) — командировка; 張る (はる) — натягивать [ссылку]; 引っ張る (ひっぱる) — тянуть сильно";Тетива лука (弓) должна РАСТЯГИВАТЬСЯ на длинное (長) расстояние.
強;きょう、つよ(い)、し(いる);сильный;"強い (つよい) — сильный; 勉強 (べんきょう) — учёба; 強いて (しいて) — насильно";Жук (虫), который я считаю СИЛЬНЫМ, иногда может тянуть большой лук (弓).
武;ぶ、む;воин, военный, рыцарство;"武士 (ぶし) — самурай; 武勇 (ぶゆう) — храбрость";ВОИН может крикнуть «стоп» (止) и стоять твёрдо с стрелой (弋).
残;ざん、のこ(る);остаток, оставшийся;"残る (のこる) — оставаться; 残念 (ざんねん) — сожаление";Когда полумесяц (月) встаёт, ОСТАТКИ от трёх (三) приёмов пищи дня и алебарда (戈) для их резки остаются.
歳;さい、せい;возраст;"何歳 (なんさい) — сколько лет?; お歳暮 (おせいぼ) — подарок конца года";Когда маленькие дети достигают определённого ВОЗРАСТА, надеетесь, что они остановятся (止) перед краем утеса (厂), чтобы прочитать знак (示) у баррикады из алебард (戈).
式;しき;церемония, функция;"卒業式 (そつぎょうしき) — церемония выпуска; 公式 (こうしき) — официальный";ЦЕРЕМОНИЯ произошла, когда началось строительство (工), и королевская гвардия с стрелами (弋) стояла в полном облачении.
成;せい、な(る);становиться, расти;"組成 (そせい) — состав; 成田空港 (なりたくうこう) — аэропорт Нарита";Лезвие алебарды (戈) использовалось, чтобы выкопать яму для семени у края утеса (厂), чтобы оно РОСЛО и СТАЛО тенью.
我;が、われ;эго, мы, себя;"我々 (われわれ) — мы; 我慢 (がまん) — терпение; 怪我 (けが) — травма";Сильное ЭГО заставило нас взять руки (手) и крутить НАШИ алебарды (戈), чтобы похвастаться.
戦;せん、たたか(う);война, битва;"戦争 (せんそう) — война; 戦う (たたかう) — сражаться";Простое (単) скрещивание лезвий алебард (戈) в БИТВЕ может привести к ВОЙНЕ.
裁;さい、た(つ)、さば(く);кроить, судить, решение;"裁判 (さいばん) — суд; 裁ち (たち) — кройка; 裁く (さばく) — судить";РЕШЕНИЕ по правам на землю (土) иногда принимается насильственно алебардами (戈).
田;た、でん;рисовое поле;"田山 (たやま) — фамилия; 油田 (ゆでん) — нефтяное поле";Это вид с воздуха на РИСОВЫЕ ПОЛЯ.
畑;はたけ;ферма, поле;"畑 (はたけ) — ферма; 麦畑 (むぎばたけ) — пшеничное поле";Как огонь (火), земля ФЕРМЫ и ПОЛЯ (田) становятся золотыми поздним летом.
界;かい;мир;"世界 (せかい) — мир; 世界中 (せかいじゅう) — по всему миру";МИР кажется вращающимся вокруг поля (田) на холме над домом.
町;まち、ちょう;городок;"下町 (したまち) — центр города; 町内 (ちょうない) — в городе";Большинство маленьких ГОРОДКОВ имеют поля.
丁;ちょう、てい;квартал;"丁寧 (ていねい) — вежливый; 二丁目 (にちょうめ) — второй квартал";Гвоздь используется, чтобы отметить место на карте КВАРТАЛА или города.
里;り、さと;деревня, родной дом;"郷里 (きょうり) — родной город; 古里 (ふるさと) — родной город";ДЕРЕВНЯ родного дома на ферме была на земле (土) прямо под полем (田).
野;や、の;равнина, поле;"野球 (やきゅう) — бейсбол; 野菜 (やさい) — овощи; 野原 (のはら) — поле";Этот гвоздь отмечает квартал (丁), где ПОЛЯ родного дома (里).
留;りゅう、る、と(める)、とど(める);задерживать, останавливать;"留学 (りゅうがく) — студент по обмену; 留守 (るす) — отсутствие дома; 止める (とめる) — прекращать";Я сам был ЗАДЕРЖАН, когда потерял меч (刀) в поле (田) и должен был искать его.
由;ゆ、よし;причина, откуда;"知る由もない (しるよしもない) — нет способа знать; 自由 (じゆう) — свобода";Знак на краю поля указывает ПРИЧИНУ, почему поле особенное.
画;が;штрих кисти, картина;"映画 (えいが) — фильм; 漫画 (まんが) — манга";Четырёхпанельная манга КАРТИНА о полях (田) видна на экране ТВ.
略;りゃく;сокращение, опущение;"侵略者 (しんりゃくしゃ) — агрессор; 省略 (しょうりゃく) — опущение";Рядом с полем (田) пустой складной стол, где владелец высказал ОПУЩЕНИЕ о забывчивости заказать еду на вечеринку.
畳;じょう、たたみ;татами;"畳 (たたみ) — татами; 四畳半 (よじょうはん) — комната 4.5 татами";Маты ТАТАМИ выглядят как квадраты полей (田).
異;い、こと(なる);необычный;"異なる (ことなる) — отличаться; 異議 (いぎ) — возражение";НЕОБЫЧНО видеть поле (田), где десятки (十) друзей приходят помогать сажать без стола полной еды для празднования.
番;ばん;очередь, номер в серии;"三番 (さんばん) — третий; 電話番号 (でんわばんごう) — телефонный номер";Легче НУМЕРОВАТЬ В СЕРИИ ряды риса (米) в полях (田), чтобы помнить, какое какое.
量;りょう、はか(る);количество, вес, рассматривать;"多量 (たりょう) — большое количество; 量り (はかり) — измерения";Всегда есть день (日), когда РАССМАТРИВАЮТ количество зерна с полей (田) на земле (土).
甲;こう;доспех, высокий (голос);"甲 (こう) — доспех; 龜甲 (きこう) — панцирь черепахи";Щит ДОСПЕХА, поднятый шипом.
申;もう(す);называться, иметь честь;"申す (もうす) — называться; 申込み (もうしこみ) — заявка";Знак выставлен и готов НАЗЫВАТЬСЯ для нового рекламодателя.
井;い、せい;колодец, сообщество;"井戸 (いど) — колодец; 市井 (しせい) — улица, город";Вид вниз в КОЛОДЕЦ сообщества.
丼;どんぶり、どん;миска с едой;"丼物 (どんぶりもの) — миска риса с topping; 天丼 (てんどん) — темпура-дон";МИСКА ЕДЫ была как колодец (井) риса.
耕;こう、たがや(す);пахать, культивировать;"耕す (たがやす) — пахать; 水耕 (すいこう) — гидропоника; 農耕 (のうこう) — земледелие";Фермер использовал плуг (耒) из дерева с тремя (三) лезвиями, чтобы ПАХАТЬ поле, затем выкопал колодец (井) для хранения урожая.
館;かん;здание, большой объект;"体育館 (たいいくかん) — гимназия; 旅館 (りょかん) — японская гостиница";БОЛЬШИЕ ЗДАНИЯ часто имеют места для еды (食) и бюрократов (官).
車;くるま、しゃ;машина, повозка;"車 (くるま) — машина; 電車 (でんしゃ) — поезд";Вид на ПОВОЗКУ сверху: коробка, длинная ось, два больших колеса.
乗;じょう、の(る);ехать, садиться;"乗る (のる) — ехать; 乗馬 (じょうば) — верховая езда";Люди раньше ЕЗДИЛИ в паланкинах в Восточной Азии.
軽;けい、かる(い);лёгкий, неважный;"軽い (かるい) — лёгкий; 軽視 (けいし) — пренебрегать";Использование повозки (車) для перемещения стола на новую землю (土) было ЛЁГКО напряжённым.
軍;ぐん;армия, войска;"軍 (ぐん) — армия; 将軍 (しょうぐん) — сёгун";Броня этого транспортного средства (車) для АРМИИ, чтобы гарантировать защиту ВОЙСК.
転;てん、ころ(ぶ);вращаться, поворачивать;"運転 (うんてん) — вождение; 自転車 (じてんしゃ) — велосипед; 転ぶ (ころぶ) — падать";Машина (車) может ПОВОРАЧИВАТЬ, когда я сам использую две (二) руки.
輪;りん、わ;колесо, кольцо, круг;"指輪 (ゆびわ) — кольцо на палец; 五輪 (ごりん) — Олимпиада";Томы (冊) инструкций написаны о ремонте КОЛЁС и частей машин (車).
冊;さつ;счётчик для томов;三冊 (さんさつ) — три тома;Это набор СВЯЗАННЫХ ТОМОВ.
船;ふね、せん;корабль, лодка;"黒船 (くろふね) — чёрный корабль; 宇宙船 (うちゅうせん) — космический корабль";ЛОДКА пыхтит дымом, когда человек кричит «земля!» при виде маленького вулканического острова.
航;こう;навигировать, плавать, летать;"航海 (こうかい) — плавание; 航空便 (こうくうびん) — авиапочта";Лодка (舟) готова НАВИГИРОВАТЬ осторожно под крышкой и вокруг поворотов.
飛;ひ、と(ぶ);летать;"飛ぶ (とぶ) — летать; 飛行機 (ひこうき) — самолёт";После лестницы на утёс двое друзей ЛЕТАТ с края, махая руками как крыльями.
友;とも、ゆう;друг;"友達 (ともだち) — друг; 友人 (ゆうじん) — друг";ДРУГ наклоняется через стол, чтобы пожать руку.
又;また;снова, кроме того;"また — снова; または — или";Каждый вечер мама говорила, что СНОВА время накрывать стол.
受;じゅ、う(ける);принимать, получать, терпеть;"受ける (うける) — получать; 受験 (じゅけん) — сдача экзамена";ПРИМИТЕ вызов ПРОЙТИ экзамен по трём знаниям за столом, чтобы ПОЛУЧИТЬ A+.
反;はん、そ(る);анти-, противоположный;"反対 (はんたい) — оппозиция; 反する (はんする) — противоречить; 反らす (そらす) — гнуть";Я ожидал, что стол под утесом (厂) готов для пикника, но НАОБОРОТ было правдой.
収;しゅう、おさ(める);доход, получать;"収入 (しゅうにゅう) — доход; 収める (おさめる) — достигать успеха";ПОЛУЧИТЕ билет на мероприятие со стола с знаком билета.
取;しゅ、と(る);брать;"取る (とる) — брать; 年を取る (としをとる) — стареть; 取得 (しゅとく) — приобретение";Сидите за столом и используйте уши (耳), чтобы слушать сигналы противника и знать, когда БРАТЬ возможность победы.
戸;と、こ;дверь;"江戸 (えど) — Эдо; 戸外 (こがい) — на открытом воздухе";Представьте качающуюся ДВЕРЬ, прикреплённую к верху дверной рамы.
扇;おうぎ、せん;веер;"扇風機 (せんぷうき) — электрический веер; 扇子 (せんす) — складной веер";У двери (戸) ВЕЕР дул как крылья (羽) птицы.
所;ところ、しょ;место;"所 (ところ) — место; 場所 (ばしょ) — место";Рядом с дверью (戸) МЕСТО, где дед оставил топор (斤).
局;きょく、つぼね;офис, дело;"郵便局 (ゆうびんきょく) — почта; 薬局 (やっきょく) — аптека";Люди часто делают большие шаги над ртами (口) чиновников, проходя через дверь правительственного ОФИСА.
届;とど(ける)、とど(く);доставлять, прибывать;"届く (とどく) — достигать; 届け (とどけ) — доставка";Какая ПРИЧИНА (由) для специальной еды, ДОСТАВЛЯЕМОЙ через открытую дверь?
居;きょ、い(る);проживать, находиться;"居間 (いま) — гостиная; 住居 (じゅうきょ) — резиденция";В колледже люди часто проходят через двери в старое (古) пространство, где ПРОЖИВАЮТ с многими другими.
展;てん;разворачивать, расширять;"展開 (てんかい) — развитие; 展覧会 (てんらんかい) — выставка";Проходя через открытую дверь с другом, мы увидели, что кто-то РАЗВЕРНУЛ гладильную доску.
屋;や、おく;дом, магазин, продавец;"本屋 (ほんや) — книжный магазин; 屋根 (やね) — крыша";Я сам вошёл в дверь МАГАЗИНА, но не увидел ПРОДАВЦА.
門;もん、かど;ворота;"門 (もん) — ворота; 門松 (かどまつ) — новогодняя сосна";ВОРОТА стоят приоткрытыми.
閑;かん;досуг, спокойный;"閑古鳥が鳴く (かんこどりがなく) — пустой магазин; 長閑 (のどか) — спокойный";Заброшенные ворота (門) с деревом (木), ЛЕНИВО растущим посередине.
間;かん、ま、あいだ;интервал, пространство;"間 (あいだ) — пространство; 間もなく (まもなく) — скоро; 時間 (じかん) — время";Солнце (日) видно через щель в воротах (門) на короткий ИНТЕРВАЛ времени.
閉;へい、と(じる)、し(める);закрытый;"閉じる (とじる) — закрывать [книги]; 閉める (しめる) — закрывать [двери]; 閉店 (へいてん) — закрытие магазина";Ворота (門) ЗАКРЫТЫ с катаканой オ, указывающей на готовность к открытию.
開;かい、ひら(く)、あ(ける);открывать;"開く (ひらく) — открывать книги; 開ける (あける) — открывать двери; 公開 (こうかい) — открытый для публики";Ворота (門) ОТКРЫТЫ, так как радикал オ вытянут в открытое положение.
問;もん、と(い);вопрос, спрашивать;"質問 (しつもん) — вопрос; 問題 (もんだい) — проблема";Если есть ПРОБЛЕМА и нужно ЗАДАТЬ ВОПРОС, приложите рот (口) к воротам (門) и СПРОСИТЕ.
関;かん、せき;связь, ворота;"関西 (かんさい) — регион Кансай; 関東 (かんとう) — регион Канто";Самураи формируют барьер у ВОРОТ в следующий регион.
写;しゃ、うつ(す);копировать, фотографировать;"写真 (しゃしん) — фотография; 写す (うつす) — копировать, снимать";Выходя из сосуда, контoрсионистка позирует, готовясь к ФОТОГРАФИИ.
室;しつ、むろ;комната;"教室 (きょうしつ) — класс; 室町 (むろまち) — эпоха Муромати";КОМНАТА для меня имела бы хорошую крышу с трубой, но даже земляной пол (土) подошёл бы.
富;ふ、と(む);богатство, обогащать;"富む (とむ) — быть богатым; 富士山 (ふじさん) — гора Фудзи";Под крышей с трубой один (一) рот (口) человека говорил о БОГАТСТВЕ от урожая полей (田).
宿;しゅく、やど;гостиница, ночлег;"宿屋 (やどや) — гостиница; 宿題 (しゅくだい) — домашнее задание";За НОЧЛЕГ под крышей ГОСТИНИЦЫ часто платят до ста (百) долларов за ночь.
客;きゃく、かく;гость, клиент;"お客様 (おきゃくさま) — клиент; 旅客 (りょかく) — пассажир";ГОСТЬ под крышей в гостинице с трубой говорит номер брони человеку за столом.
宮;みや、きゅう、ぐう;синтоистский храм, дворец;"神宮 (じんぐう) — высокий храм; 宮殿 (きゅうでん) — дворец";Под крышей с трубой СИНТОИСТСКОГО ХРАМА или ДВОРЦА сеть ртов (口) поёт и связывается как позвоночник (呂).
容;よう;содержать, форма, внешность;"容易 (ようい) — лёгкий; 内容 (ないよう) — содержание";План — чтобы человек (人) ФОРМИРОВАЛ всё под этой крышей с трубой в место для восьми (八) других.
宝;ほう、たから;сокровище;"宝石 (ほうせき) — драгоценный камень; 宝くじ (たからくじ) — лотерея";СОКРОВИЩЕ для детей под крышей с трубой — их любимый шар (玉).
宗;しゅう;религия, секта, основной пункт;宗教 (しゅうきょう) — религия;Основная ДЕНОМИНАЦИЯ РЕЛИГИИ имеет шпиль на крыше и алтарь для показа (示) ОСНОВНЫХ ПУНКТОВ секты.
官;かん;бюрократ, правительство;"警官 (けいかん) — полицейский; 官僚 (かんりょう) — бюрократ";За пределами здания ПРАВИТЕЛЬСТВА был одноместный пост охраны с маленькой крышей и трубой.
宙;ちゅう;воздух, пространство;"宇宙 (うちゅう) — вселенная; 宇宙旅行 (うちゅうりょこう) — космическое путешествие";С ПРОСТРАНСТВОМ можно посадить сад, ПРИЧИНА — крыша с трубой над молодыми растениями, затем больше ВОЗДУХА.
空;くう、そら、あ(く)、す(く);пустой, небо;"空 (そら) — небо; 空港 (くうこう) — аэропорт; 空腹 (くうふく) — голод";В ПУСТОМ пространстве под крышей дыра (穴), через которую видно НЕБО.
穴;あな、けつ;дыра, пещера;"鼻の穴 (はなのあな) — ноздря; 毛穴 (けあな) — пора кожи";ДЫРА через трубу на крыше выпускает дым, подобно дыре в вершине вулкана.
窓;まど、そう;окно;"窓 (まど) — окно; 同窓会 (どうそうかい) — встреча выпускников";Дыра (穴), через которую видно настоящее меня — ОКНО в мою душу (心).
実;じつ、み;реальность, истина, плод;"実は (じつは) — на самом деле; 実験 (じっけん) — эксперимент";Под крышей с трубой РЕАЛЬНОСТЬ трёх (三) тяжёлых ИСТИН несёт человек (人).
安;あん、やす(い);дешёвый, мирный;"安い (やすい) — дешёвый; 安全 (あんぜん) — безопасный";Иногда ДЕШЕВЛЕ для женщины быть под крышей, шопинг онлайн, чем на улице.
宣;せん;провозглашать, объявлять;"宣言 (せんげん) — декларация; 宣伝 (せんでん) — реклама";Под крышей с трубой один (一) видит солнечный свет (日) над одной (一) ясной линией ПРОКЛАМАЦИИ.
宜;ぎ、よろ(しい);хорошо, наилучшие пожелания;"宜しく (よろしく) — лучшие пожелания; 情宜 (じょうぎ) — дружеские чувства";Под крышей с трубой, когда хороший глаз (目) к земле, всё ХОРОШО.
完;かん;совершенный, завершение;"完全 (ぜんぜん) — совершенство; 完成 (かんせい) — завершение";С богатством (元) СОВЕРШЕННЫХ пятёрок под крышей с трубой дети ЗАВЕРШИЛИ хорошо.
究;きゅう;исследовать, изучать;"研究 (けんきゅう) — исследование; 研究者 (けんきゅうしゃ) — исследователь";Для ИССЛЕДОВАНИЯ проткните хотя бы девять (九) дыр (穴) в теориях и ИЗУЧИТЕ находки.
寒;かん、さむ(い);холодный;"寒い (さむい) — холодный; 厳寒 (げんかん) — сильный холод";ХОЛОДНО снаружи, но внутри под крышей с трубой поленья сложены, огонь только зажжён.
守;しゅ、まも(る)、す;охранять, защищать;"守る (まもる) — защищать; 留守 (るす) — отсутствие; 厳守 (げんしゅ) — строгое соблюдение";Чтобы ЗАЩИТИТЬ новую крышу и трубу, измерьте (寸) и ОХРАНЯЙТЕ, убедившись в герметичности.
